STDIV,PDSI_DEV_2016,PDSI_DEV_2014,PDSI_DEV_2012,PDSI_DEV_2007,PDSI_DEV_2002
8006,0.53,-0.12,-0.04,1.09,0.05
8007,-0.05,0.88,-1.14,-0.07,-0.61
9001,2.11,-0.22,1.4,4.61,0.6
9002,2.1,-0.46,2.1,4.04,1.03
9003,2.09,0.32,2.3,3.25,1.54
9004,1.53,-1.37,3.24,3.61,1.56
9005,1.97,-1.61,4.26,2.69,1.69
9006,0.46,-0.56,4.12,2.65,3.12
9007,-0.19,-1.53,3.63,3.49,1.4
9008,0.53,-1.72,2.56,4.04,1.71
9009,1.42,-1.13,2.47,3.23,2.59
10001,0.82,-0.22,-2.8,1.87,0.35
10002,0.79,0.68,-0.85,2.04,0.65
10003,0.62,1.41,-0.38,2.39,1.69
10004,0.76,0.16,-0.56,2.52,2.36
10005,0.33,2.41,1.53,2.99,3.85
10006,-0.85,4.15,2.46,2.34,3.22
10007,-2.03,3.63,1.43,2.47,4.17
10008,-0.77,1.48,1.28,2.17,3.68
10009,-0.32,4.02,2.88,3.26,5.14
10010,-1.32,1.31,1.99,2.26,3.96
11001,-1.97,0.24,3,0.13,0.16
11002,-1.73,-0.69,2.76,-1.6,1.09
11003,0.88,-0.15,3.59,2.27,-0.23
11004,-2.02,-0.35,2.43,0.64,-0.2
11005,-2.65,-0.94,1.98,-0.05,-0.59
11006,0.72,-0.62,2.09,2.45,-0.71
11007,-1.46,-1.28,1.22,1.02,0.4
11008,-1.27,-0.21,1.29,1.35,0.21
11009,-1.53,-1.57,1.59,1.05,0.07
12001,-2,-1.37,2.59,-1.85,0.42
12002,0.42,-0.42,3.48,-1.47,0.5
12003,0.72,-0.16,2.93,-0.07,0.36
12004,-0.87,-1.03,1.47,0.76,-0.44
12005,-1.34,-0.71,1.25,0.38,-0.16
12006,-1.04,-1.15,0.83,0.13,-0.09
12007,-0.9,-2.07,1.46,1.12,-0.68
12008,-1.97,-1.38,0.99,1.19,-1.96
12009,-1.64,-1.14,1.17,1.02,-2.4
13001,-3.3,1.14,4.58,-0.5,1.62
13002,-3.37,-0.33,5.29,-1.37,1.39
13003,-2.27,0.07,3.08,-1.68,0.45
13004,-3.77,-0.28,4.18,-2.65,1.44
13005,-2.83,-0.13,3.93,-2.37,1.09
13006,-2.42,-0.41,3.04,-1.5,-0.15
13007,-3.88,-0.27,2.16,-2.18,3.1
13008,0.3,-0.27,3.21,-1.8,1.87
13009,0.91,-0.57,3.13,-1.21,0.71
14001,-0.13,3.16,3.74,0.26,4.16
14002,-0.64,2.42,2.22,-1.14,3.04
14003,-1.59,0.81,2.57,-0.66,1.9
14004,-0.06,0.85,3.26,-1.26,3.75
14005,-0.55,0.52,2.89,-1.65,2.57
14006,-0.19,1.53,2.89,-0.47,1.86
14007,-2.91,0.85,3.56,-0.65,3.47
14008,-1.23,0.88,3.01,-1.62,2.43
14009,-0.42,1.19,2.4,-1.27,1.62
15001,-1.04,-0.14,1.98,1.29,-2.22
15002,-0.74,-1.41,0.92,1.37,-0.22
15003,-1.2,-2.01,0.64,1.24,-0.5
15004,-0.76,-2.53,-0.13,2.96,0.01
16001,-1.18,0.3,0.34,0.75,1.41
16002,-1.3,-0.12,1.18,0.77,0.84
16003,-0.69,-0.85,0.87,0.68,0.12
16004,-0.92,-0.35,-0.26,0.34,0.53
16005,-0.56,-0.47,-0.16,0.41,0.45
16006,-2.93,-0.73,-0.3,1.6,0.16
16007,-1.6,-0.53,-1.26,-0.94,-0.48
16008,-1.9,-0.44,1.09,0.03,0.04
16009,-1.07,0.02,-1,0.49,0.16
17001,0.85,-0.52,-0.29,-2.83,3
17002,1.1,-1.9,0.18,-2.28,3.3
17003,1.4,-1.55,0.17,-2.57,2.91
18001,-1.44,0.01,1.16,1.8,1.76
18002,-0.22,-0.59,1.59,1.4,1.71
18003,0.05,-0.25,1.28,2.36,2.74
18004,0.47,-0.86,1.62,1.86,2.46
18005,0.23,-0.94,2.12,1.7,2.01
18006,0.42,-1.92,0.43,1.5,2.95
18007,1.24,-0.76,-0.25,1.39,2.62
18008,1.26,-0.06,0.52,0.54,0.14
19001,2.7,0.38,2.31,0.17,2.15
19002,3.3,0.01,1.11,0.22,1.32
19003,2.46,0.39,0.92,0.24,1.5
20001,-2.63,-3.11,1.49,3.39,-1.34
20002,-2.14,-3.58,0.82,1.42,-1.86
